,,Driver,AUS,CHNS,CHN,JPN,BAH,SAUS,SAU,MIA,CAN,MON,SPA,AUSS,AUS,BRI,BEL,HUN,NETS,NET,ITA,AZE,SIN,USAS,USA,MEX,BRAS,BRA,LVG,ABU,TOTAL,Average PG,,,,Just Main Race,AUS,CHN,JPN,BAH,SAU,MIA,CAN,MON,SPA,AUS,BRI,BEL,HUN,NET,ITA,AZE,SIN,USA,MEX,BRA,LVG,ABU,TOTAL,Average PG,,,,Just Sprint,CHNS,SAUS,AUSS,NETS,USAS,BRAS,TOTAL,Average PG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F1CC,AUS,CHNS,CHN,JPN,BAH,SAUS,SAU,MIA,CAN,MON,SPA,AUSS,AUS,BRI,BEL,HUN,NETS,NET,ITA,AZE,SIN,USAS,USA,MEX,BRAS,BRA,LVG,ABU,TOTAL,Average,STC,,,F1CC,AUS,CHN,JPN,BAH,SAU,MIA,CAN,MON,SPA,AUS,BRI,BEL,HUN,NET,ITA,AZE,SIN,USA,MEX,BRA,LVG,ABU,TOTAL,Average,,,,F1CC,CHNS,SAUS,AUSS,NETS,USAS,BRAS,TOTAL,Average
,EE,Quarter Kevu,5*,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Waiting...,11,,EE,Quarter Kevu,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,EE,Quarter Kevu,,,,,,,0,Waiting...
,US,Lukus Wright,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"P10,0",1,,US,Lukus Wright,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,US,Lukus Wright,,,,,,,0,Waiting...
,FI,Eetu Väisänen,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,"P1,0",25,,FI,Eetu Väisänen,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,FI,Eetu Väisänen,,,,,,,0,Waiting...
,PT,Afonso Cachinho,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P12,0",0,,PT,Afonso Cachinho,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,PT,Afonso Cachinho,,,,,,,0,Waiting...
,TR,Eren Aygen,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"P4,0",12,,TR,Eren Aygen,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,TR,Eren Aygen,,,,,,,0,Waiting...
,NL,Lucas Koopman,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P17,0",0,,NL,Lucas Koopman,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,NL,Lucas Koopman,,,,,,,0,Waiting...
,GB,Jason Roy,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P11,0",0,,GB,Jason Roy,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,GB,Jason Roy,,,,,,,0,Waiting...
,BE,Philippe Verhaeren,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P13,0",0,,BE,Philippe Verhaeren,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,BE,Philippe Verhaeren,,,,,,,0,Waiting...
,AU,Joshua Nathanial,DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,,AU,Joshua Nathanial,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,AU,Joshua Nathanial,,,,,,,0,Waiting...
,CN,Zhao Lei,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"P7,0",6,,CN,Zhao Lei,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,CN,Zhao Lei,,,,,,,0,Waiting...
,NL,Maikel Zwart,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"P5,0",10,,NL,Maikel Zwart,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,NL,Maikel Zwart,,,,,,,0,Waiting...
,BE,Wesley Vandesteene,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,"P2,0",18,,BE,Wesley Vandesteene,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,BE,Wesley Vandesteene,,,,,,,0,Waiting...
,GR,George Konstantaras,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P18,0",0,,GR,George Konstantaras,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,GR,George Konstantaras,,,,,,,0,Waiting...
,AU,Riley Swansson,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"P9,0",2,,AU,Riley Swansson,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,AU,Riley Swansson,,,,,,,0,Waiting...
,DE,Sam Fakt,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P16,0",0,,DE,Sam Fakt,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,DE,Sam Fakt,,,,,,,0,Waiting...
,US,Sarah Springfield,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"P6,0",8,,US,Sarah Springfield,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,US,Sarah Springfield,,,,,,,0,Waiting...
,AU,Richard Hicks,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P14,0",0,,AU,Richard Hicks,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,AU,Richard Hicks,,,,,,,0,Waiting...
,DE,Robin Keisner,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P15,0",0,,DE,Robin Keisner,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,DE,Robin Keisner,,,,,,,0,Waiting...
,BG,Julian Kondra,DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,,BG,Julian Kondra,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,BG,Julian Kondra,,,,,,,0,Waiting...
,GR,Michiii Maradöner,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,"P3,0",15,,GR,Michiii Maradöner,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,GR,Michiii Maradöner,,,,,,,0,Waiting...
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
